"";"Survived";"Pclass";"Sex";"Age";"Family";"Embarked";"rango_edad"
"1";"0";"3";"male";22;"Yes";"S";"20-29"
"2";"1";"1";"female";38;"Yes";"C";"30-39"
"3";"1";"3";"female";26;"No";"S";"20-29"
"4";"1";"1";"female";35;"Yes";"S";"30-39"
"5";"0";"3";"male";35;"No";"S";"30-39"
"6";"0";"3";"male";29,6991176470588;"No";"Q";"20-29"
"7";"0";"1";"male";54;"No";"S";"50-59"
"8";"0";"3";"male";2;"Yes";"S";"0-9"
"9";"1";"3";"female";27;"Yes";"S";"20-29"
"10";"1";"2";"female";14;"Yes";"C";"10-19"
"11";"1";"3";"female";4;"Yes";"S";"0-9"
"12";"1";"1";"female";58;"No";"S";"50-59"
"13";"0";"3";"male";20;"No";"S";"10-19"
"14";"0";"3";"male";39;"Yes";"S";"30-39"
"15";"0";"3";"female";14;"No";"S";"10-19"
"16";"1";"2";"female";55;"No";"S";"50-59"
"17";"0";"3";"male";2;"Yes";"Q";"0-9"
"18";"1";"2";"male";29,6991176470588;"No";"S";"20-29"
"19";"0";"3";"female";31;"Yes";"S";"30-39"
"20";"1";"3";"female";29,6991176470588;"No";"C";"20-29"
"21";"0";"2";"male";35;"No";"S";"30-39"
"22";"1";"2";"male";34;"No";"S";"30-39"
"23";"1";"3";"female";15;"No";"Q";"10-19"
"24";"1";"1";"male";28;"No";"S";"20-29"
"25";"0";"3";"female";8;"Yes";"S";"0-9"
"26";"1";"3";"female";38;"Yes";"S";"30-39"
"27";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"28";"0";"1";"male";19;"Yes";"S";"10-19"
"29";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"30";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"31";"0";"1";"male";40;"No";"C";"30-39"
"32";"1";"1";"female";29,6991176470588;"Yes";"C";"20-29"
"33";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"34";"0";"2";"male";66;"No";"S";"60-69"
"35";"0";"1";"male";28;"Yes";"C";"20-29"
"36";"0";"1";"male";42;"Yes";"S";"40-49"
"37";"1";"3";"male";29,6991176470588;"No";"C";"20-29"
"38";"0";"3";"male";21;"No";"S";"20-29"
"39";"0";"3";"female";18;"Yes";"S";"10-19"
"40";"1";"3";"female";14;"Yes";"C";"10-19"
"41";"0";"3";"female";40;"Yes";"S";"30-39"
"42";"0";"2";"female";27;"Yes";"S";"20-29"
"43";"0";"3";"male";29,6991176470588;"No";"C";"20-29"
"44";"1";"2";"female";3;"Yes";"C";"0-9"
"45";"1";"3";"female";19;"No";"Q";"10-19"
"46";"0";"3";"male";29,6991176470588;"No";"S";"20-29"
"47";"0";"3";"male";29,6991176470588;"Yes";"Q";"20-29"
"48";"1";"3";"female";29,6991176470588;"No";"Q";"20-29"
"49";"0";"3";"male";29,6991176470588;"Yes";"C";"20-29"
"50";"0";"3";"female";18;"Yes";"S";"10-19"
"51";"0";"3";"male";7;"Yes";"S";"0-9"
"52";"0";"3";"male";21;"No";"S";"20-29"
"53";"1";"1";"female";49;"Yes";"C";"40-49"
"54";"1";"2";"female";29;"Yes";"S";"20-29"
"55";"0";"1";"male";65;"Yes";"C";"60-69"
"56";"1";"1";"male";29,6991176470588;"No";"S";"20-29"
"57";"1";"2";"female";21;"No";"S";"20-29"
"58";"0";"3";"male";28,5;"No";"C";"20-29"
"59";"1";"2";"female";5;"Yes";"S";"0-9"
"60";"0";"3";"male";11;"Yes";"S";"10-19"
"61";"0";"3";"male";22;"No";"C";"20-29"
"62";"1";"1";"female";38;"No";"";"30-39"
"63";"0";"1";"male";45;"Yes";"S";"40-49"
"64";"0";"3";"male";4;"Yes";"S";"0-9"
"65";"0";"1";"male";29,6991176470588;"No";"C";"20-29"
